Student Name,Roll Number,Score,Remarks,Status
"Unknown","Unknown","N/A","Evaluation failed: Failed to evaluate submission: Gemini API error (404): models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.","failed"
"Unknown","Unknown","N/A","Evaluation failed: Failed to evaluate submission: Gemini API error (404): models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.","failed"
"Unknown","Unknown","N/A","Evaluation failed: Failed to evaluate submission: Gemini API error (404): models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.","failed"
